Date,Reserves,GDP in mil Local,FER/GDP
1995-03-31,798870,1257810.0,0.6351277219929878
1995-04-30,767370,1333756.3712457705,0.5753449554533353
1995-05-31,811200,1398571.0613996456,0.5800205812839976
1995-06-30,936000,1434850.0,0.6523329964804684
1995-07-31,1025020,1439459.052683323,0.7120869455016735
1995-08-31,1055580,1437777.886646713,0.7341745966492073
1995-09-30,1152900,1463478.0,0.7877808890875025
1995-10-31,1251700,1538567.8604177567,0.8135487762367105
1995-11-30,1217390,1624969.8897495577,0.7491769587112938
1995-12-31,1658190,1680346.0,0.9868146203222432
1996-01-31,1739940,1669404.91581523,1.0422516332116616
1996-02-29,1645150,1630459.3508676142,1.009010129031778
1996-03-31,1571370,1608107.0,0.9771551271152977
1996-04-30,1443360,1639615.7909766864,0.8803037930857077
1996-05-31,1438320,1701276.1974787426,0.8454359157740299
1996-06-30,1486550,1749141.0,0.8498743097326059
1996-07-31,1415840,1758505.4164210546,0.8051382650168607
1996-08-31,1487120,1753747.2605088602,0.8479671121872505
1996-09-30,1622210,1773613.0,0.9146358309281676
1996-10-31,1591450,1844072.63297785,0.8630083064733143
1996-11-30,1565740,1930007.4418175733,0.8112611205920913
1996-12-31,1589740,1991445.0,0.7982846626444617
1997-01-31,1517160,1994805.871858032,0.7605552106114788
1997-02-28,1499780,1975727.0483947715,0.7591028331664201
1997-03-31,1481210,1976304.0,0.7494848970603712
1997-04-30,1421140,2029811.0185047504,0.7001341440381358
1997-05-31,1505040,2111415.535881068,0.7128108960190846
1997-06-30,1529580,2173397.0,0.7037738618393234
1997-07-31,1596500,2190838.194004109,0.728716527021167
1997-08-31,1609390,2192096.6161325653,0.7341784062599335
1997-09-30,1590700,2221471.0,0.7160570630901776
1997-10-31,1682950,2308138.220866748,0.7291374428035863
1997-11-30,1729870,2406237.4604408084,0.7189107594073854
1997-12-31,1695470,2463388.0,0.6882675404767743
1998-01-31,1776280,2437587.223017225,0.728704180604186
1998-02-28,1880750,2383016.958118455,0.7892306404252251
1998-03-31,2008560,2353125.0,0.8535713147410359
1998-04-30,2094950,2399700.4793486795,0.8730047845673664
1998-05-31,2165970,2490609.472599783,0.86965460616316
1998-06-30,2088430,2565669.0,0.8139904251093965
1998-07-31,2090900,2591684.0563697163,0.8067727217216492
1998-08-31,2087370,2600059.581097655,0.8028162182032709
1998-09-30,1907190,2641267.0,0.7220739137694144
1998-10-31,1768690,2746779.472134412,0.6439140884599746
1998-11-30,1906310,2852196.3025285667,0.6683656374948642
1998-12-31,2023580,2882758.0,0.7019597205176432
1999-01-31,1946850,2783857.1723217084,0.6993354470036791
1999-02-28,2127690,2651004.7836105027,0.8025975709867333
1999-03-31,2058290,2562452.0,0.8032501681982726
1999-04-30,2009260,2609279.5217841654,0.7700439846422105
1999-05-31,2046040,2738474.2502661995,0.7471459699871599
1999-06-30,2204260,2854557.0,0.7721898704422437
1999-07-31,2261340,2901208.072914225,0.7794477139064742
1999-08-31,2290850,2915282.4843558376,0.7858072115801112
1999-09-30,2419730,2962257.0,0.8168535005571765
1999-10-31,2427180,3084648.151442483,0.7868579756381521
1999-11-30,2671200,3211154.0570868384,0.83185046637822
1999-12-31,2703630,3258280.0,0.8297721497231668
2000-01-31,2725868,3163231.1408173023,0.8617353202003765
2000-02-29,2857321,3021689.3513666,0.9456038221492682
2000-03-31,2670008,2930525.0,0.911102276895778
2000-04-30,2782050,2982069.465808318,0.9329259535695957
2000-05-31,2618768,3124994.705769556,0.8380071797129993
2000-06-30,2642061,3263165.0,0.8096620918648
2000-07-31,2651046,3339948.179890348,0.7937386621630265
2000-08-31,2812750,3381736.856823625,0.8317471521548074
2000-09-30,2967082,3442020.0,0.8620176524250295
2000-10-31,2916334,3556700.1152757187,0.819954987904265
2000-11-30,3097529,3663003.259418935,0.8456255101698609
2000-12-31,3077127,3688342.0,0.8342846189426035
2001-01-31,2785615,3582501.363031137,0.7775614627102625
2001-02-28,3122975,3453522.5411352245,0.9042868441719889
2001-03-31,3127644,3395609.0,0.9210848481082481
2001-04-30,3186425,3506334.634307876,0.9087623779037781
2001-05-31,3109553,3715119.86133456,0.8369993744651281
2001-06-30,3136975,3892980.0,0.8058030095196995
2001-07-31,3135650,3964557.897283954,0.7909204711446329
2001-08-31,3057513,3966193.449478668,0.7708935630464246
2001-09-30,3156666,3973506.0,0.7944283964841126
2001-10-31,3057218,4037532.354723272,0.7571996287345018
2001-11-30,2887556,4112403.028044216,0.7021578333418524
2001-12-31,2784373,4136606.0,0.6731056813242547
2002-01-31,2614393,4066469.126555787,0.6429147544553807
2002-02-28,2544587,3977933.7835522406,0.6396755548122067
2002-03-31,2412066,3939887.0,0.6122170508951145
2002-04-30,2458827,4022098.5045899614,0.6113293837020704
2002-05-31,2337330,4173883.140859143,0.5599893243582496
2002-06-30,2323991,4302211.0,0.5401852675287195
2002-07-31,2312439,4356253.605522638,0.5308320427140437
2002-08-31,2293504,4379478.025066202,0.523693460013498
2002-09-30,2190466,4444286.0,0.49287242090180516
2002-10-31,2180562,4595155.415319964,0.47453498367653485
2002-11-30,2161570,4734438.859840389,0.4565630825514288
2002-12-31,2161845,4747475.0,0.45536732684216347
2003-01-31,3225474,4555146.347372139,0.7080944834759862
2003-02-28,2941247,4320627.99138102,0.6807452541314202
2003-03-31,2766259,4172831.0,0.66292140755281
2003-04-30,2535938,4264306.273051509,0.5946894612204531
2003-05-31,2472938,4498535.026839875,0.5497207391396453
2003-06-30,2522843,4704431.0,0.5362695297263367
2003-07-31,2489884,4781533.74645117,0.5207291492709801
2003-08-31,2445677,4798131.537745201,0.5097144546289999
2003-09-30,2511389,4874447.0,0.5152151618429742
2003-10-31,2498644,5087549.551895188,0.49112917221007074
2003-11-30,2535302,5306985.124904846,0.4777292455752753
2003-12-31,2375946,5378302.0,0.4417650775281864
2004-01-31,2607011,5187738.391078534,0.5025332434810771
2004-02-29,2415024,4918154.228975953,0.49104275457072255
2004-03-31,2257216,4753947.0,0.4748088272755249
